//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

cauldron;minecraft:cauldron;0;Cauldron
chainboots;minecraft:chainmail_boots;0;Chain Boots
chainchest;minecraft:chainmail_chestplate;0;Chain Chestplate
chainhelmet;minecraft:chainmail_helmet;0;Chain Helmet
chainlegs;minecraft:chainmail_leggings;0;Chain Leggings
chickencurry;millenaire:chickencurry;0;Murgh Curry
chickenmeat;minecraft:chicken;0;Raw Chicken
chickenmeatcooked;minecraft:cooked_chicken;0;Cooked Chicken
chiseledstonebrick;minecraft:stonebrick;3;Chiseled Stone Bricks
cider;millenaire:cider;0;Cider
ciderapple;millenaire:ciderapple;0;Cider Apple
clay;minecraft:clay_ball;0;Clay
clock;minecraft:clock;0;Clock
clothes_byz_silk;millenaire:clothes_byz_silk;0;Silk Byzantine clothes
clothes_byz_wool;millenaire:clothes_byz_wool;0;Wool Byzantine clothes
coal;minecraft:coal;0;Coal
coarse_dirt;minecraft:dirt;1;Coarse Dirt
cobblestone;minecraft:cobblestone;0;Cobblestone
compass;minecraft:compass;0;Origin Compass
cooked_mutton;minecraft:cooked_mutton;0;Cooked Mutton
cooked_rabbit;minecraft:cooked_rabbit;0;Cooked Rabbit
cookedbrick;millenaire:stone_deco;1;Cooked Brick
cookie;minecraft:cookie;0;Cookie
denier;millenaire:denier;0;Denier
denierargent;millenaire:denierargent;0;Denier Argent
denieror;millenaire:denieror;0;Denier Or
diamond;minecraft:diamond;0;Diamond
diamondaxe;minecraft:diamond_axe;0;Diamond Axe
diamondboots;minecraft:diamond_boots;0;Diamond Boots
diamondchest;minecraft:diamond_chestplate;0;Diamond Chestplate
diamondhelmet;minecraft:diamond_helmet;0;Diamond Helmet
diamondhoe;minecraft:diamond_hoe;0;Diamond Hoe
diamondlegs;minecraft:diamond_leggings;0;Diamond Leggings
diamondpickaxe;minecraft:diamond_pickaxe;0;Diamond Pickaxe
diamondshovel;minecraft:diamond_shovel;0;Diamond Shovel
diamondsword;minecraft:diamond_sword;0;Diamond Sword
dirt;minecraft:dirt;0;Dirt
dirtwall;millenaire:earth_deco;0;Dirt Wall
dye_black;minecraft:dye;0;Ink Sac
dye_blue;minecraft:dye;4;Lapis Lazuli
dye_brown;minecraft:dye;3;Cocoa Beans
dye_cyan;minecraft:dye;6;Cyan Dye
dye_gray;minecraft:dye;8;Gray Dye
dye_green;minecraft:dye;2;Cactus Green
dye_lightblue;minecraft:dye;12;Light Blue Dye
dye_lightgray;minecraft:dye;7;Light Gray Dye
dye_lime;minecraft:dye;10;Lime Dye
dye_magenta;minecraft:dye;13;Magenta Dye
dye_orange;minecraft:dye;14;Orange Dye
dye_pink;minecraft:dye;9;Pink Dye
dye_purple;minecraft:dye;5;Purple Dye
dye_red;minecraft:dye;1;Rose Red
dye_white;minecraft:dye;15;Bone Meal
dye_yellow;minecraft:dye;11;Dandelion Yellow
egg;minecraft:egg;0;Egg
enderpearl;minecraft:ender_pearl;0;Ender Pearl
feather;minecraft:feather;0;Feather
feta;millenaire:feta;0;Feta
fire_pit;millenaire:fire_pit;0;Fire Pit
fishcooked;minecraft:cooked_fish;0;Cooked Fish
fishing_rod;minecraft:fishing_rod;0;Wooden Fishing Rod
fishraw;minecraft:fish;0;Raw Fish
flint;minecraft:flint;0;Flint
flintandsteel;minecraft:flint_and_steel;0;Flint and Steel
furboots;millenaire:furboots;0;Fur Boots
furhelmet;millenaire:furhelmet;0;Fur Hood
furlegs;millenaire:furlegs;0;Fur Leggings
furplate;millenaire:furplate;0;Fur Coat
ghasttear;minecraft:ghast_tear;0;Ghast Tear
glass;minecraft:glass;0;Glass
glass_pane_black;minecraft:stained_glass_pane;15;Black Stained Glass Pane
glass_pane_blue;minecraft:stained_glass_pane;11;Blue Stained Glass Pane
glass_pane_brown;minecraft:stained_glass_pane;12;Brown Stained Glass Pane
glass_pane_cyan;minecraft:stained_glass_pane;9;Cyan Stained Glass Pane
glass_pane_gray;minecraft:stained_glass_pane;7;Gray Stained Glass Pane
glass_pane_green;minecraft:stained_glass_pane;13;Green Stained Glass Pane
glass_pane_light_blue;minecraft:stained_glass_pane;3;Light Blue Stained Glass Pane
glass_pane_light_gray;minecraft:stained_glass_pane;8;Light Gray Stained Glass Pane
glass_pane_lime;minecraft:stained_glass_pane;5;Lime Stained Glass Pane
glass_pane_magenta;minecraft:stained_glass_pane;2;Magenta Stained Glass Pane
glass_pane_orange;minecraft:stained_glass_pane;1;Orange Stained Glass Pane
glass_pane_pink;minecraft:stained_glass_pane;6;Pink Stained Glass Pane
glass_pane_purple;minecraft:stained_glass_pane;10;Purple Stained Glass Pane
glass_pane_red;minecraft:stained_glass_pane;14;Red Stained Glass Pane
glass_pane_white;minecraft:stained_glass_pane;0;White Stained Glass Pane
glass_pane_yellow;minecraft:stained_glass_pane;4;Yellow Stained Glass Pane
gold;minecraft:gold_ingot;0;Gold Ingot
goldaxe;minecraft:golden_axe;0;Golden Axe
goldboots;minecraft:golden_boots;0;Golden Boots
goldchest;minecraft:golden_chestplate;0;Golden Chestplate
goldhelmet;minecraft:golden_helmet;0;Golden Helmet
goldhoe;minecraft:golden_hoe;0;Golden Hoe
goldlegs;minecraft:golden_leggings;0;Golden Leggings
goldore;minecraft:gold_ore;0;Gold Ore
goldpickaxe;minecraft:golden_pickaxe;0;Golden Pickaxe
goldshovel;minecraft:golden_shovel;0;Golden Shovel
goldsword;minecraft:golden_sword;0;Golden Sword
grapes;millenaire:grapes;0;Grapes
gravel;minecraft:gravel;0;Gravel
gunpowder;minecraft:gunpowder;0;Gunpowder
hidehanging;millenaire:hidehanging;0;Hanging Hide
ice;minecraft:ice;0;Ice
icebrick;millenaire:icebrick;0;Ice Brick
ikayaki;millenaire:ikayaki;0;Ikayaki
indianstatue;millenaire:indianstatue;0;Hindu Statue
inuitbearstew;millenaire:inuitbearstew;0;Inuit Bear Stew
inuitbow;millenaire:inuitbow;0;Pitiksi Bow
inuitcarving;millenaire:inuitcarving;4;Inuit Carving
inuitmeatystew;millenaire:inuitmeatystew;0;Inuit Meat Stew
inuitpotatostew;millenaire:inuitpotatostew;0;Inuit Potato Stew
inuittrident;millenaire:inuittrident;0;Kakivak
iron;minecraft:iron_ingot;0;Iron Ingot
ironore;minecraft:iron_ore;0;Iron Ore
japaneseblueboots;millenaire:japaneseblueboots;0;Blue ō-yoroi boots
japanesebluehelmet;millenaire:japanesebluehelmet;0;Blue ō-yoroi helmet
japanesebluelegs;millenaire:japanesebluelegs;0;Blue ō-yoroi leggings
japaneseblueplate;millenaire:japaneseblueplate;0;Blue ō-yoroi chestplate
japaneseguardboots;millenaire:japaneseguardboots;0;Keiko boots
japaneseguardhelmet;millenaire:japaneseguardhelmet;0;Keiko helmet
japaneseguardlegs;millenaire:japaneseguardlegs;0;Keiko leggings
japaneseguardplate;millenaire:japaneseguardplate;0;Keiko chestplate
japaneseredboots;millenaire:japaneseredboots;0;Red ō-yoroi boots
japaneseredhelmet;millenaire:japaneseredhelmet;0;Red ō-yoroi helmet
japaneseredlegs;millenaire:japaneseredlegs;0;Red ō-yoroi leggings
japaneseredplate;millenaire:japaneseredplate;0;Red ō-yoroi chestplate
leather;minecraft:leather;0;Leather
leatherboots;minecraft:leather_boots;0;Leather Boots
leatherchest;minecraft:leather_chestplate;0;Leather Tunic
leatherhelmet;minecraft:leather_helmet;0;Leather Cap
leatherlegs;minecraft:leather_leggings;0;Leather Pants
maize;millenaire:maize;0;Maize
masa;millenaire:masa;0;Masa
mayanaxe;millenaire:mayanaxe;0;Obsidian Axe
mayangold;millenaire:stone_deco;2;Gold Ornament
mayanhoe;millenaire:mayanhoe;0;Obsidian Hoe
mayanmace;millenaire:mayanmace;0;Obsidian Mace
mayanpickaxe;millenaire:mayanpickaxe;0;Obsidian Pickaxe
mayanquestcrown;millenaire:mayanquestcrown;0;Mayan Crown
mayanshovel;millenaire:mayanshovel;0;Obsidian Shovel
mayanstatue;millenaire:mayanstatue;0;Mayan Carving
melonseeds;minecraft:melon_seeds;0;Melon Seeds
melonslice;minecraft:melon;0;Melon
mudbrick;millenaire:stone_deco;0;Mud Brick
mushroombrown;minecraft:brown_mushroom;0;Mushroom
mushroomred;minecraft:red_mushroom;0;Mushroom
mutton;minecraft:mutton;0;Raw Mutton
netherwart;minecraft:nether_wart;0;Nether Wart
normanaxe;millenaire:normanaxe;0;Norman Axe
normanboots;millenaire:normanboots;0;Norman Boots
normanbroadsword;millenaire:normanbroadsword;0;Norman Broadsword
normanhelmet;millenaire:normanhelmet;0;Norman Helmet
normanhoe;millenaire:normanhoe;0;Norman Hoe
normanlegs;millenaire:normanlegs;0;Norman Leggings
normanpickaxe;millenaire:normanpickaxe;0;Norman Pickaxe
normanplate;millenaire:normanplate;0;Norman Chestplate
normanshovel;millenaire:normanshovel;0;Norman Shovel
obsidian;minecraft:obsidian;0;Obsidian
obsidianflake;millenaire:obsidianflake;0;Obsidian Flake
painting;minecraft:painting;0;Painting
paper;minecraft:paper;0;Paper
paper_wall;millenaire:paper_wall;0;Paper Wall
parchment_indianbuildings;millenaire:parchment_indianbuildings;0;Indian Buildings
parchment_indianfull;millenaire:parchment_indianfull;0;Complete Indian Scroll
parchment_indianitems;millenaire:parchment_indianitems;0;Indian Objects
parchment_indianvillagers;millenaire:parchment_indianvillagers;0;Indian Villagers
parchment_japanesebuildings;millenaire:parchment_japanesebuildings;0;Japanese Buildings
parchment_japanesefull;millenaire:parchment_japanesefull;0;Complete Japanese Scroll
parchment_japaneseitems;millenaire:parchment_japaneseitems;0;Japanese Objects
parchment_japanesevillagers;millenaire:parchment_japanesevillagers;0;Japanese Villagers
parchment_mayanbuildings;millenaire:parchment_mayanbuildings;0;Mayan Buildings
parchment_mayanfull;millenaire:parchment_mayanfull;0;Complete Mayan Scroll
parchment_mayanitems;millenaire:parchment_mayanitems;0;Mayan Objects
parchment_mayanvillagers;millenaire:parchment_mayanvillagers;0;Mayan Villagers
parchment_normanbuildings;millenaire:parchment_normanbuildings;0;Norman Buildings
parchment_normanfull;millenaire:parchment_normanfull;0;Complete Normandy Scroll
parchment_normanitems;millenaire:parchment_normanitems;0;Norman Objects
parchment_normanvillagers;millenaire:parchment_normanvillagers;0;Norman Villagers
parchment_sadhu;millenaire:parchment_sadhu;0;Book of the Sadhu
pathdirt;millenaire:pathdirt;0;Dirt path
pathdirt_slab;millenaire:pathdirt_slab;0;Dirt path
pathgravel;millenaire:pathgravel;0;Gravel path
pathgravel_slab;millenaire:pathgravel_slab;0;Gravel path
pathgravelslabs;millenaire:pathgravelslabs;0;Slabs and gravel path
pathgravelslabs_slab;millenaire:pathgravelslabs_slab;0;Slabs and gravel path
pathochretiles;millenaire:pathochretiles;0;Ochre slabs path
pathochretiles_slab;millenaire:pathochretiles_slab;0;Ochre slabs path
pathsandstone;millenaire:pathsandstone;0;Sandstone slabs path
pathsandstone_slab;millenaire:pathsandstone_slab;0;Sandstone slabs path
pathslabs;millenaire:pathslabs;0;Slabs path
pathslabs_slab;millenaire:pathslabs_slab;0;Slabs path
pathsnow;millenaire:pathsnow;0;Snow path
pathsnow_slab;millenaire:pathsnow_slab;0;Snow path
planks_acacia;minecraft:planks;4;Acacia Wood Planks
planks_birch;minecraft:planks;2;Birch Wood Planks
planks_darkoak;minecraft:planks;5;Dark Oak Wood Planks
planks_jungle;minecraft:planks;3;Jungle Wood Planks
planks_oak;minecraft:planks;0;Oak Wood Planks
planks_pine;minecraft:planks;1;Spruce Wood Planks
porkchops;minecraft:porkchop;0;Raw Porkchop
porkchopscooked;minecraft:cooked_porkchop;0;Cooked Porkchop
potato;minecraft:potato;0;Potato
pumpkin;minecraft:pumpkin;0;Pumpkin
pumpkinseeds;minecraft:pumpkin_seeds;0;Pumpkin Seeds
purse;millenaire:purse;0;Deniers Pouch
rabbit;minecraft:rabbit;0;Raw Rabbit
rabbit_hide;minecraft:rabbit_hide;0;Rabbit Hide
rasgulla;millenaire:rasgulla;0;Rasgulla
redflower;minecraft:red_flower;0;Poppy
redstone;minecraft:redstone;0;Redstone
rice;millenaire:rice;0;Rice
rosette;millenaire:rosette;0;Rosette Stained Glass Windows
rottenflesh;minecraft:rotten_flesh;0;Rotten Flesh
saddle;minecraft:saddle;0;Saddle
sake;millenaire:sake;0;Sake
sand;minecraft:sand;0;Sand
sandstone;minecraft:sandstone;0;Sandstone
sapling;minecraft:sapling;0;Oak Sapling
sapling_acacia;minecraft:sapling;4;Acacia Sapling
sapling_birch;minecraft:sapling;2;Birch Sapling
sapling_darkoak;minecraft:sapling;5;Dark Oak Sapling
sapling_jungle;minecraft:sapling;3;Jungle Sapling
sapling_pine;minecraft:sapling;1;Spruce Sapling
seafood_cooked;millenaire:seafood_cooked;0;Sea Meat
seafood_raw;millenaire:seafood_raw;0;Raw Sea Meat
seeds;minecraft:wheat_seeds;0;Seeds
shears;minecraft:shears;0;Shears
silk;millenaire:silk;0;Silk
silkwormempty;millenaire:wood_deco;3;Plain Timber Frame
silkwormfull;millenaire:wood_deco;4;Plain Timber Frame
skoll_hati_amulet;millenaire:skoll_hati_amulet;0;Amulet of Sköll and Hati
slimeball;minecraft:slime_ball;0;Slimeball
snow;minecraft:snow;0;Snow
snowblock;minecraft:snow;0;Snow
snowbrick;millenaire:snowbrick;0;Snow Brick
snowwall;millenaire:snowwall;0;Snow Wall
sod_acacia;millenaire:sod;4;Sod Acacia Planks
sod_birch;millenaire:sod;2;Sod Birch Planks
sod_dark_oak;millenaire:sod;5;Sod Dark Oak Planks
sod_jungle;millenaire:sod;3;Sod Jungle Planks
sod_oak;millenaire:sod;0;Sod Oak Planks
sod_spruce;millenaire:sod;1;Sod Spruce Planks
souvlaki;millenaire:souvlaki;0;Souvlaki
spidereye;minecraft:spider_eye;0;Spider Eye
spiderstring;minecraft:string;0;String
sponge;minecraft:sponge;0;Sponge
stained_glass_green_blue;millenaire:stained_glass;4;Green & Blue Stained Glass Windows
stained_glass_red_blue;millenaire:stained_glass;3;Red & Blue Stained Glass Windows
stained_glass_white;millenaire:stained_glass;0;White Stained Glass Windows
stained_glass_yellow;millenaire:stained_glass;1;Yellow Stained Glass Windows
stained_glass_yellow_red;millenaire:stained_glass;2;Yellow & Red Stained Glass Windows
steelaxe;minecraft:iron_axe;0;Iron Axe
steelboots;minecraft:iron_boots;0;Iron Boots
steelchest;minecraft:iron_chestplate;0;Iron Chestplate
steelhelmet;minecraft:iron_helmet;0;Iron Helmet
steelhoe;minecraft:iron_hoe;0;Iron Hoe
steellegs;minecraft:iron_leggings;0;Iron Leggings
steelpickaxe;minecraft:iron_pickaxe;0;Iron Pickaxe
steelshovel;minecraft:iron_shovel;0;Iron Shovel
steelsword;minecraft:iron_sword;0;Iron Sword
stick;minecraft:stick;0;Stick
stone;minecraft:stone;0;Stone
stoneaxe;minecraft:stone_axe;0;Stone Axe
stonebrick;minecraft:stonebrick;0;Stone Bricks
stonehoe;minecraft:stone_hoe;0;Stone Hoe
stonepickaxe;minecraft:stone_pickaxe;0;Stone Pickaxe
stoneshovel;minecraft:stone_shovel;0;Stone Shovel
stonesword;minecraft:stone_sword;0;Stone Sword
string;minecraft:string;0;String
sugarcane;minecraft:reeds;0;Sugar Canes
summoningwand;millenaire:summoningwand;0;Wand of Summoning
tachisword;millenaire:tachisword;0;Tachi
tannedhide;millenaire:tannedhide;0;Treated Hide
tapestry;millenaire:tapestry;0;Norman Tapestry
thatch;millenaire:wood_deco;2;Thatch
timberframecross;millenaire:wood_deco;1;Cross Timber Frame
timberframeplain;millenaire:wood_deco;0;Plain Timber Frame
tnt;minecraft:tnt;0;TNT
totem_of_undying;minecraft:totem_of_undying;0;Totem of Undying
tripes;millenaire:tripes;0;Tripes
turmeric;millenaire:turmeric;0;Turmeric
udon;millenaire:udon;0;Udon
ulu;millenaire:ulu;0;Ulu
unknownpowder;millenaire:unknownpowder;0;Unknown Powder
vegcurry;millenaire:vegcurry;0;Vegetarian Curry
vines;minecraft:vine;0;Vines
vishnu_amulet;millenaire:vishnu_amulet;0;Amulet of Vishnu
wah;millenaire:wah;0;Wah
wheat;minecraft:wheat;0;Wheat
winebasic;millenaire:winebasic;0;Wine
winefancy;millenaire:winefancy;0;Malvasia Wine
wolfmeat_cooked;millenaire:wolfmeat_cooked;0;Wolf Steak
wolfmeat_raw;millenaire:wolfmeat_raw;0;Raw Wolf Meat
wood;minecraft:log;0;
wood_acacia;minecraft:log2;0;
wood_any;minecraft:log;-1;
wood_birch;minecraft:log;2;
wood_darkoak;minecraft:log2;1;
wood_jungle;minecraft:log;3;
wood_oak;minecraft:log;0;
wood_pine;minecraft:log;1;
woodaxe;minecraft:wooden_axe;0;Wooden Axe
woodhoe;minecraft:wooden_hoe;0;Wooden Hoe
woodpickaxe;minecraft:wooden_pickaxe;0;Wooden Pickaxe
woodshovel;minecraft:wooden_shovel;0;Wooden Shovel
woodsword;minecraft:wooden_sword;0;Wooden Sword
wool_black;minecraft:wool;15;Black Wool
wool_blue;minecraft:wool;11;Blue Wool
wool_brown;minecraft:wool;12;Brown Wool
wool_cyan;minecraft:wool;9;Cyan Wool
wool_gray;minecraft:wool;7;Gray Wool
wool_green;minecraft:wool;13;Green Wool
wool_lightblue;minecraft:wool;3;Light Blue Wool
wool_lightgray;minecraft:wool;8;Light Gray Wool
wool_limegreen;minecraft:wool;5;Lime Wool
wool_magenta;minecraft:wool;2;Magenta Wool
wool_orange;minecraft:wool;1;Orange Wool
wool_pink;minecraft:wool;6;Pink Wool
wool_purple;minecraft:wool;10;Purple Wool
wool_red;minecraft:wool;14;Red Wool
wool_white;minecraft:wool;0;White Wool
wool_yellow;minecraft:wool;4;Yellow Wool
yellowflower;minecraft:yellow_flower;0;Dandelion
yggdrasil_amulet;millenaire:yggdrasil_amulet;0;Amulet of Yggdrasil
yumibow;millenaire:yumibow;0;Yumi Bow
